Назва,Стан,Категорія,Місцезнаходження,Переможець,"Номер лота","Стартова ціна","Ціна продажу"
"ІПОТЕКА. Житлова квартира № 367, загальною площею 102,1 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, корп. 8","Реєстрація учасників","Житлова нерухомість",м.Київ,,493776,1087528.80,
"ІПОТЕКА. Житлова квартира № 373, загальною площею 98,8 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, корп. 9","Реєстрація учасників","Житлова нерухомість",м.Київ,,493777,998488.00,
"Незавершене будівництво, багатоповерховий 87-квартирний житловий будинок з вбудовано-прибудованими приміщеннями магазинів, СПА-салону, салону-перукарні та тренажерних залів, готовністю 2,71 %, за адресою м. Хмельницький, вул. Козацька, буд. 40","Реєстрація учасників",Недобудована,"Хмельницька обл.",,493778,30700503.15,
"ІПОТЕКА: земельна ділянка загальною площею 0,1500 га, к\н 3220881300:04:002:0326, за адресою: Київська обл., Бориспільський р-н., Вишеньківська сільська рада, с.Вишеньки","Реєстрація учасників","Земельні ділянки",м.Київ,,493779,120306.06,
"1/3 частка квартири загальною площею 65,8 кв.м., розташованої за адресою: м. Хмельницький, вул. Гречка маршала, будинок 10/1, квартира 51","Реєстрація учасників","Житлова нерухомість","Хмельницька обл.",,493780,197750.70,
"ІПОТЕКА. Двокімнатна квартира, загальною площею 43,0 кв.м., за адресою: м. Запоріжжя, вул. Яценка, буд. 1, кв. 96","Торги зупинено","Житлова нерухомість","Запорізька обл.",,447162,391681.50,
"ІПОТЕКА. Житловий буд. (літ.А), пл.116.10кв.м. з пр. будівлями та спорудами на двох зем.діл., пл.0.2398га, К/Н3222482003:04:001:5123, пл.0.0699га, К/Н3222482003:04:001:5121, за адресою: Київська обл., Києво-Святошинський р., с.Лука, вул. Л.Українки, буд.22","Реєстрація учасників","Житлова нерухомість","Київська обл.",,493781,656670.00,
"Планшет марки ""Selecline"" CE 0359","Реєстрація учасників","Планшети, електронні книги","Хмельницька обл.",,493782,750.00,
"1/9 частина  цілого убудовано-прибудованого приміщення, загальною площею 540,5 кв.м,  розташована за адресою:  Запорізька обл., м. Бердянськ, вул. Горького, буд. 47/ вул. Першотравнева, буд. 38","Торги зупинено","Комерційна нерухомість","Запорізька обл.","Учасник №1",484330,616420.00,616420.00
"ІПОТЕКА. Житлова квартира № 235, загальною площею 106,7 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, секц. 6","Реєстрація учасників","Житлова нерухомість",м.Київ,,493350,1413828.00,
"Іпотека: Нежитлові приміщення (магазин/кафе), заг. пл. 126,6 кв.м., за адресою: Львівська обл., м. Червоноград, вул. Львівська, 13, приміщення 141","Торги припинено","Нежитлове приміщення","Львівська обл.",,490906,983079.30,
"ІПОТЕКА. Житлова квартира № 234, загальною площею 81,7 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, секц. 6","Реєстрація учасників","Житлова нерухомість",м.Київ,,493349,1111587.00,
"Акумуляторна батарея VEGA Limited Edition 12B 60Ah 6CT - 60A","Складання акту",Запчастини/аксесуари,"Харківська обл.","Учасник №1",490588,125.00,150.00
"Покришки для вантажних автомобілів (Casumina) GC-S 621 315/80R22,5 - 4 шт ","Очікування сплати",Запчастини/аксесуари,"Одеська обл.","Учасник №37",486855,7020.00,10000.01
"Автонавантажувач 40015, 1993 р.в., ДНЗ Т06253АР, жовтого кольору, ідентифікаційний № 059/18/40015, двигун № 146024","Очікування сплати",Спецтехніка,"Запорізька обл.","Учасник №18",489303,51567.50,203176.44
"ІПОТЕКА. Двокімнатна квартира, загальною площею 43,7 кв.м., за адресою: Одеська область, м. Одеса, вул. Радісна, буд. 11, кв. 39","Торги припинено","Житлова нерухомість","Одеська обл.",,490504,522079.60,
"Системний блок MULTIMEDIA COMPUTER SYSTEM","Реєстрація учасників",Комп'ютери,"Полтавська обл.",,493690,650.00,
"Принтер АР 5,4","Реєстрація учасників",Оргтехніка,"Полтавська обл.",,493672,2599.00,
"ІПОТЕКА: двокімнатна квартира, загальною площею 48.6 кв.м., за адресою: Луганська обл., м. Кремінна, вулиця Шевченко, будинок 26, квартира 2","Реєстрація учасників","Житлова нерухомість","Луганська обл.",,493786,136500.00,
"Іпотека - однокімнатна квартира, загальна площа 35,0 кв.м., житлова площа 18,70 кв.м., за адресою: місто Київ, просп. Маяковського, буд. 12-А, кв. 220","Реєстрація учасників","Житлова нерухомість",м.Київ,,493752,968000.00,
" Легковий автомобіль: HONDA CIVIC, 2008 р.в. , червоного кольору, ДНЗ : АН7195ЕЕ, VIN: NLAFD76408W025057  ","Реєстрація учасників","Легкові автомобілі","Донецька обл.",,493787,118650.00,
"Автомобіль: марки: AUDI, модель: A8, категорія: ЛЕГКОВИЙ, колір: ЧОРНИЙ, рік виробництва: 1999, Номер кузова: WAUZZZ4DZXN006810, ДНЗ: КА9781АХ","Реєстрація учасників","Легкові автомобілі",м.Київ,,493452,111200.00,
"Добровільний продаж. Нежитлове приміщення заг. пл. 83,2 кв.м, що належить банку на праві власності й знаходиться за адресою: Житомирська обл., м. Коростень, вул. Сосновського, 50","Реєстрація учасників","Нежитлове приміщення","Житомирська обл.",,493682,638350.00,
"Іпотека. Частина корпусу №1 з трансформаторною підстанцією ТП-23 літ.В-1: на першому поверсі нежитлові приміщення поз.1-70, заг.площа 9113,8 кв.м., навіс літ.в3, за адресою: Дніпропетровська обл., м. Дніпро, вул. Будівельників, буд.34","Реєстрація учасників",Інше,"Дніпропетровська обл.",,493638,28087640.00,
"Іпотека. Трикімнатна квартира загальною площею - 76,2 кв.м., що розташована за адресою: Київська обл., м. Бровари, б-р Незалежності, буд. 14-Г, кв. 60","Реєстрація учасників","Житлова нерухомість",м.Київ,,493788,958800.00,
"ІПОТЕКА: двокімнатна квартира, загальною площею 72, 2 кв. м., що знаходиться за адресою: Київська обл., Києво-Святошинський р., с. Крюківщина, вул. Вишнева, 17, кв. 121","Реєстрація учасників","Житлова нерухомість",м.Київ,,493790,1133600.00,
"Іпотека: Однокімнатна квартира №242, загальною площею 36,0 кв. м., житлова площа: 17.8 кв.м., що знаходиться за адресою: м. Київ, вул. Райдужна,буд. №69","Реєстрація учасників","Житлова нерухомість","Київська обл.",,493791,597336.00,
"ІПОТЕКА. Квартира в одноповерховому будинку, загальною площею 69,7 кв.м, за адресою: Чернігівська обл., Козелецький р-н., смт. Козелець, пров. Заводський, буд. 2, кв. 7","Реєстрація учасників","Житлова нерухомість","Чернігівська обл.",,493792,87588.00,
"Телевізор SONY","Реєстрація учасників",Телевізори,"Тернопільська обл.",,493794,6750.00,
"Ноутбук Lenovo","Реєстрація учасників",Ноутбуки,"Тернопільська обл.",,493796,7500.00,
"ІПОТЕКА. Чотирикімнатна квартира № 10А, загальною площею 80,20, кв.м., що розташована за адресою: м. Київ, вул. Іоанна Павла ІІ (Патріса Лумумби), буд. №7","Реєстрація учасників","Житлова нерухомість",м.Київ,,493795,1794485.60,
"Хімічна речовина DESCALEX LIQUID у кількості 50 кг","Торги відбулися","Будівельні матеріали","Миколаївська обл.","Учасник №1",492270,3067.50,3070.00
"Добровільний продаж. Нежитлова будівля заг. пл. 30,0 кв.м., що належить банку на праві власності і знаходиться за адресою: Житомирська обл., Малинський р-н, смт. Чоповичі, вул. Соборна, 4","Реєстрація учасників",Будівлі,"Житомирська обл.",,493681,95900.00,
"Плоскогубці ","Торги відбулися",Інструменти,"Харківська обл.","Учасник №1",491674,7.50,7.50
"Трактор колісний марки ""New Holland T7060"", державний реєстраційний номер 08739 АО, 2016 року випуску, заводський номер ZGBG04957","Очікування сплати",Сільгосптехніка,"Закарпатська обл.","Учасник №16",487572,611150.00,1087847.00
"Викрутка хрестова","Торги відбулися",Інструменти,"Харківська обл.","Учасник №1",491672,5.00,5.00
"Мобільний телефон марки Xiaomi, б/в","Торги відбулися","Мобільні телефони","Волинська обл.","Учасник №1",491465,300.00,300.00
"Транспортний засіб марки Volkswagen Crafter 35 TDI, 2008 року випуску, реєстраційний номер ВО6588АР, № кузова WV1ZZZ2TZ86008525, білого кольору, об’єм двигуна 2459 см. куб., тип пального - дизель","Очікування сплати","Легкові автомобілі","Львівська обл.","Учасник №9",489296,156585.50,179000.00
"Мобільні телефони марок ""ZTE"", ""Xiaomi"", ""Lenovo"", ""Huawei""","Торги відбулися","Мобільні телефони","Львівська обл.","Учасник №3",491062,200.00,290.01
"Смартфон ""NOMI"" модель: ""i4510"", б/в","Торги відбулися","Мобільні телефони","Волинська обл.","Учасник №1",491010,175.00,175.00
"Хімічна речовина ECO/TR 17SOOT CLEAN POWDER у кількості 75 кг","Торги відбулися",Інше,"Миколаївська обл.","Учасник №1",490921,9795.00,9800.00
"Пожежна машина АЦ/ГАЗ 66, 1984 р.в., ДНЗ ВА1394АХ, червоного кольору, № кузова: ХТН660000Т0356235","Торги відбулися",Спецтехніка,"Кіровоградська обл.","Учасник №34",490710,33640.00,75000.00
"Автомобіль DACIA, модель LOGAN, 2008 р.в., ДНЗ АА8994НК, № кузова UU1KSDAD539843298","Торги відбулися","Легкові автомобілі",м.Київ,"Учасник №60",490700,59294.00,101400.00
"Легковий автомобіль: ВАЗ 2105, 1983 р. в, червоного кольору, номер кузова VIN: ХТА210500D0337522, ДНЗ: АН 2809 НІ","Торги відбулися","Легкові автомобілі","Донецька обл.","Учасник №2",490670,15200.00,16113.00
"Легковий автомобіль: Daewoo Lanos, 2006 р.в., сірого кольору, ДНЗ: АН5286ВК, VIN: SUPTF69YD6W287696","Реєстрація учасників","Легкові автомобілі","Донецька обл.",,493378,62300.00,
"Земельна ділянка, заг. площею 0.1000 га., кадастровий номер 4623686400:01:006:0185, за адресою: Львівська обл., Пустомитівський р., с. Сокільники","Торги відбулися","Земельні ділянки","Львівська обл.","Учасник №2",490470,325550.00,325550.00
"Мобільний телефон Nokia модель RM-1187","Очікування сплати","Мобільні телефони","Волинська обл.","Учасник №6",490389,31.25,49.97
"Вантажний автомобіль: КРАЗ 6510 (самоскид), оранжевого кольору, 1994 р.в., ДНЗ: АН6731НХ, VIN: X1C651000R0767888","Торги відбулися","Вантажні автомобілі","Донецька обл.","Учасник №5",490201,69075.00,76777.77
"Мобільний телефон марки ""Huawei""","Торги не відбулися","Мобільні телефони","Львівська обл.",,488706,75.00,0.00
"Транспортний засіб. Вантажний самоскид - С, ЗИЛ-ММЗ, 45021, 1979 р.в., ДНЗ СА8682АХ, шасі 435664/240000082134027, зеленого кольору","Торги відбулися","Вантажні автомобілі","Черкаська обл.","Учасник №26",489949,17775.00,22575.00
"ІПОТЕКА. Земельна ділянка, кадастровий номер 3221487001:01:007:0068, площею 0,1396 га., за адресою: Київська область, Васильківський район, село Путрівка","Торги відбулися","Земельні ділянки","Київська обл.","Учасник №5",489930,197120.00,197120.00
"Мобільний телефон марки ""Nokia""","Торги не відбулися","Мобільні телефони","Львівська обл.",,488705,15.00,0.00
"Трактор колісний ЮМЗ-6АКЛ, 1992 року випуску, д.н.з. 40509ВЕ, заводський номер: 8882791","Торги відбулися",Сільгосптехніка,"Миколаївська обл.","Учасник №9",489744,23228.50,23228.50
"1/2 частка житлового будинку, заг. пл. 74,0 кв.м. та 1/2 частка земельної ділянки пл. 0,1 га (КН: 4810136600:01:004:0002), за адресою: Миколаївська область, м. Миколаїв, вул. Прибузька, 24","Торги відбулися","Житлова нерухомість","Миколаївська обл.","Учасник №1",489475,190212.00,190212.00
"Електро точилка для ножів Electric Multi-purpose Sharpener","Торги відбулися","Господарчі товари","Харківська обл.","Учасник №1",489421,50.00,56.90
"Автомобіль марки ВАЗ 2108 , реєстраційний номер ВС5574ВВ, 1989 року випуску, бежевий, номер кузова XTA210800K0518312","Реєстрація учасників","Легкові автомобілі","Львівська обл.",,493640,15800.00,
"Легковий автомобіль DАЕWОО-FSО LANOS TF69Y, 2008 р.в., ДНЗ АР7465ВЕ, сірого кольору, кузов (шасі рама) № Y6DTF69YD8W397989 (SUPTF69YD8W397989)","Торги відбулися","Легкові автомобілі","Запорізька обл.","Учасник №48",489297,34472.40,60326.65
"ІПОТЕКА: однокімнатна квартира, загальною площею 22,6 кв.м., за адресою: м.Київ, пр-т. Героїв Дніпра, буд. 3, кв. 200","Реєстрація учасників","Житлова нерухомість",м.Київ,,493742,935753.00,
"Іпотека. Об’єкт незавершеного будівництва загальною площею 381.5 кв.м., та земельна ділянка площею 0,5 га., кадастровий номер: 1822085300:03:001:0006, за адресою: Житомирська обл., Житомирський р-н, с. Павленківка, вул. Шосейна, 1а","Торги відбулися",Недобудована,"Житомирська обл.","Учасник №3",489020,449864.80,449864.80
"Системний блок, маніпуляторна мишка, клавіатура та монітор ""Samsung"" у кількості 1 штука","Торги відбулися",Комп'ютери,"Запорізька обл.","Учасник №2",488869,771.67,1002.00
"ІПОТЕКА. Двокімнатна квартира заг. пл. 48,8 кв.м., за адресою: Дніпропетровська область, м. Кам'янське (кол. назва Дніпродзержинськ), вул. Йосипа Манаєнкова (кол. назва Комунарна), буд. 14, кв. 27","Торги відбулися","Житлова нерухомість","Дніпропетровська обл.","Учасник №12",488592,93400.00,154000.00
"ІПОТЕКА. Одноповерхова будівля, заг. пл. 629,7 кв.м., за адресою: Дніпропетровська область, м. Кривий Ріг, вул. Житомирська, буд. 2","Торги відбулися","Нежитлове приміщення","Дніпропетровська обл.","Учасник №7",488568,400800.00,400800.00
"Іпотека. Двокімнатна квартира загальною площею 41,2 кв.м., що розташована за адресою: Дніпропетровська обл., м. Кам'янське, вул. Ухтомського, буд. 30, кв. 20","Торги відбулися","Житлова нерухомість","Дніпропетровська обл.","Учасник №5",488448,101300.00,136000.00
"Іпотека. Однокімнатна квартира загальною площею 29,5 кв.м., що розташована за адресою: Дніпропетровська обл., м. Кам'янське, вул. Сірка Івана (колишня вул. Ватутіна), буд. 37, кв. 49","Торги відбулися","Житлова нерухомість","Дніпропетровська обл.","Учасник №3",488438,61100.00,129001.00
"Терморегулятор цифровий","Реєстрація учасників",Інше,"Полтавська обл.",,493761,228.00,
"Вантажний автомобіль ГАЗ 5312, 1991 року випуску, державний номерний знак ВХ8695АХ,  № кузова1316064","Торги відбулися","Вантажні автомобілі","Хмельницька обл.","Учасник №6",487751,5785.00,9545.25
"Комп’ютер  (моноблок) марки «Apple» модель «А1419», серійний номер СО2P9L5WFY10, EMC-2806 в комплекті з безпровідним маніпулятором-мишею марки «Apple» модель «А1657» та клавіатурою марки «Apple» модель «A1644», б/у","Складання акту",Комп'ютери,"Вінницька обл.","Учасник №12",485631,15600.00,15600.01
"Мотолцикл марки ММВЗ (Мінськ), модель 311211, 1990 р.в., АЕ 6626 АА, VIN/шассі XSK311211L0775494/775494","Торги не відбулися",Мототранспорт,"Дніпропетровська обл.",,486983,7400.00,0.00
"Комплект мебельний","Реєстрація учасників",Меблі,"Полтавська обл.",,493801,13757.00,
"Добровільний продаж. Редукціон. Двокімнатна квартира заг. пл. 42,6 кв.м, що знаходиться за адресою: Чернівецька обл., м. Чернівці, вул. Білоруська, буд. 1, кв. 2","Реєстрація учасників","Житлова нерухомість",м.Київ,,493805,435000.00,
"ІПОТЕКА. Нежитлова будівля (склад міндобрив) літ. Б, заг. пл. 3405,4 кв.м., за адресою: Львівська область, м. Самбір, вул. Промислова, буд 5-Б","Торги відбулися",Будівлі,"Львівська обл.","Учасник №1",486691,838040.00,838040.00
"Об’єкт незавершеного будівництва, готовність 91% - нежитлове торгівельно–офісне приміщення літ. «Д1-І», загальною площею 170,1 м2 з частиною прибудови літ. «д3», ганок літ. «д8», навіс літ. «д9», навіс літ. «д10», за адресою: м. Суми, вул. Шевченка, 18","Реєстрація учасників",Недобудована,"Сумська обл.",,493721,2784800.00,
"Фрезерний верстат типу ФСШ, рік виготовлення невстановлений, б/в, в кількості – 1 шт.","Торги відбулися",Обладнання,"Закарпатська обл.","Учасник №9",483985,11718.00,26834.22
"Мобільний телефон марки ""Nomi""","Очікування сплати","Мобільні телефони","Львівська обл.","Учасник №3",490454,39.38,60.00
"Автомобіль HYUNDAI ELANTRA, ідентифікаційний номер: KMHDH41CBCU226820, 2011 року випуску, сірого кольору, ДНЗ АВ9471ЕМ","Торги відбулися","Легкові автомобілі","Вінницька обл.","Учасник №79",481702,98630.00,126121.00
"Комплекс будівель виробничої бази та земельна ділянка КН 3510900000:50:040:0004 площею 0,4918 га, за адресою: Кіровоградська обл., м. Світловодськ, вул. Героїв Чорнобиля (Комсомольська), буд. 31-Д","Реєстрація учасників","Промислова нерухомість","Кіровоградська обл.",,493684,455721.00,
"Мобільний телефон марки ""Sony""","Очікування сплати","Мобільні телефони","Львівська обл.","Учасник №4",490338,187.50,271.92
"Семикімнатна квартира, загальною площею 176 кв.м., за адресою: м. Одеса, вул. Осипова, буд.19, кв. 8","Очікування сплати","Житлова нерухомість","Одеська обл.","Учасник №14",478068,1057272.00,1700000.00
"Транспортний засіб КРАЗ 257, ДНЗ ВК6559АК, 1983 року випуску, номер кузову 488577","Очікування сплати","Вантажні автомобілі","Рівненська обл.","Учасник №27",489125,34016.00,88999.00
"Бензопила помаранчевого кольору TM ""STAHL M 5230""","Очікування сплати",Інструменти,"Харківська обл.","Учасник №12",470716,200.00,896.00
"Вантажний автомобіль ГАЗ-3307 1992 року випуску зав. №1419362 днз.5018ХАФ","Торги зупинено","Вантажні автомобілі","Харківська обл.",,400342,7319.12,
"Автомобіль вантажний бортовий ГАЗ 6611 1986 р.в., ДНЗ: СЕ4322АІ","Торги не відбулися","Вантажні автомобілі","Чернівецька обл.",,482601,15600.00,0.00
"Трактор колісний ЮМЗ-6, 1978 р.в., ДНЗ: 08082СЕ","Очікування сплати",Сільгосптехніка,"Чернівецька обл.","Учасник №16",487353,6750.00,16875.00
"Добровільний продаж. Редукціон. Підвальне приміщення заг. пл. 172,3  кв. м, що знаходиться за адресою: с. Петропавлівська Борщагівка, вул. Шкільна, буд. 23","Реєстрація учасників","Нежитлове приміщення",м.Київ,,493806,418500.00,
"Шафа металева сірого кольору з полицями","Реєстрація учасників",Меблі,"Полтавська обл.",,493797,1625.00,
"Добровільний продаж. Земельна ділянка загальною площею 1,8877 га, КН: 4423857500:12:001:0106, що знаходиться за адресою: Луганська область, Попаснянський район, Мирнодолинська селищна рада","Реєстрація учасників","Земельні ділянки","Луганська обл.",,493810,1400000.00,
"ІПОТЕКА. Житлова квартира № 215, загальною площею 105,8 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, корп. 5","Реєстрація учасників","Житлова нерухомість",м.Київ,,493811,1122565.60,
"Навантажувач фронтальний Т-156 1990 року випуску, зав. №191, днз.2700ХБ","Торги зупинено",Спецтехніка,"Харківська обл.","Учасник №12",419973,26588.02,36960.00
"Приміщення розважального комплексу «Каприз», за адресою: Кіровоградська обл., Новоукраїнський р. (Добровеличківський р.), смт. Добровеличківка, вул. Шевченка, буд. 3","Реєстрація учасників","Комерційна нерухомість","Кіровоградська обл.",,493685,701000.00,
"ІПОТЕКА. Житлова квартира № 325, загальною площею 52,1 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, корп. 8","Реєстрація учасників","Житлова нерухомість",м.Київ,,493812,681426.40,
"Стіл для харчування на металевих ніжках ","Реєстрація учасників",Меблі,"Полтавська обл.",,493339,4900.00,
"ІПОТЕКА. Житлова квартира № 220, загальною площею 104,0 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, корп. 5","Реєстрація учасників","Житлова нерухомість",м.Київ,,493813,1105520.00,
"ІПОТЕКА. Житлова квартира № 247, загальною площею 106,7 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, корп. 6","Реєстрація учасників","Житлова нерухомість",м.Київ,,493815,1131062.40,
"ІПОТЕКА. Житлова квартира № 228, загальною площею 103,4 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, корп. 5","Реєстрація учасників","Житлова нерухомість",м.Київ,,493819,1099835.20,
"ІПОТЕКА. Житлова квартира № 372, загальною площею 76,2 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, корп. 9","Реєстрація учасників","Житлова нерухомість",м.Київ,,493820,786961.60,
"Двокімнатна квартира загальною площею 47,9 кв.м., за адресою: м. Київ, вулиця Світлицького, будинок 30/20а, квартира 173","Реєстрація учасників","Житлова нерухомість","Одеська обл.",,493519,943000.00,
"ІПОТЕКА. Житлова квартира № 256, загальною площею 106,3 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, секц. 6","Реєстрація учасників","Житлова нерухомість",м.Київ,,493821,1127257.60,
"Добровільний продаж. Редукціон. Житловий будинок (без земельної ділянки) загальною площею 284,1 кв.м, що знаходиться за адресою: Дніпропетровська обл., м. Дніпро, вул. Інгульська (Кіровоградська), буд. 194","Реєстрація учасників","Житлова нерухомість",м.Київ,,493816,1000000.00,
"Іпотека: однокімнатна квартира, загальна площа 35,82 кв.м., житлова площа 18,90 кв.м., за адресою: м. Київ, просп. Маяковського,  буд. 20-А, кв. 29","Реєстрація учасників","Житлова нерухомість",м.Київ,,493631,990100.00,
"Добровільний продаж. Редукціон. Двокімнатна квартира загальною площею 53,7 кв.м, що розташована за адресою: м.Київ, вул. Йорданська, буд. 9В, кв. 86","Реєстрація учасників","Житлова нерухомість",м.Київ,,493814,1080000.00,
"ІПОТЕКА. Житлова квартира № 212, загальною площею 105,1 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, корп. 5","Реєстрація учасників","Житлова нерухомість",м.Київ,,493823,1115902.40,
"ІПОТЕКА. Земельна ділянка площею 0,12 га, кадастровий номер 3220881300:04:005:0124, що розташована за адресою: Київська область, Бориспільський район, с./рада Вишеньківська, с. Вишеньки,  СТ «Либідь», ділянка №61","Реєстрація учасників","Земельні ділянки",м.Київ,,493825,134836.80,
"ІПОТЕКА. Житлова квартира № 233, загальною площею 81,6 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, корп. 6","Реєстрація учасників","Житлова нерухомість",м.Київ,,493824,888332.80,
"Транспортний засіб ГАЗ 33081-50, типу вантажний спеціальний – С, номер кузова X96330810B1005380 330700B0189702, 2011 року випуску, реєстраційний номер AA0564МА","Реєстрація учасників","Вантажні автомобілі",м.Київ,,492567,726100.00,
"ІПОТЕКА. Житлова квартира № 239, загальною площею 106,9 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, корп. 6","Реєстрація учасників","Житлова нерухомість",м.Київ,,493826,1132922.40,
"ІПОТЕКА. Земельна ділянка площею 0,12 га, кадастровий номер 3220881300:04:005:0125, що розташована за адресою: Київська область, Бориспільський район, с./рада Вишеньківська, с. Вишеньки, СТ «Либідь», ділянка №62","Реєстрація учасників","Земельні ділянки",м.Київ,,493827,134836.80,
"Двокімнатна квартира, загальною площею: 45.6 кв.м., за адресою: м. Харків, вул. Холодногірська, буд. 6, кв. 99","Реєстрація учасників","Житлова нерухомість","Харківська обл.",,493551,683200.00,
"ІПОТЕКА. Житлова квартира № 223, загальною площею 104,8 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, корп. 5","Реєстрація учасників","Житлова нерухомість",м.Київ,,493828,1113087.20,
"ІПОТЕКА. Земельна ділянка площею 0,12 га, кадастровий номер 3220881300:04:005:0123, що розташована за адресою: Київська область, Бориспільський район, с./рада Вишеньківська, с. Вишеньки, СТ «Либідь», ділянка №60","Реєстрація учасників","Земельні ділянки",м.Київ,,493829,134836.80,
"ІПОТЕКА. Земельна ділянка площею 0,12 га, кадастровий номер 3220881300:04:005:0222, що розташована за адресою: Київська область, Бориспільський район, с./рада Вишеньківська, с. Вишеньки, СТ «Либідь», ділянка №159","Реєстрація учасників","Земельні ділянки",м.Київ,,493830,134836.80,
"ІПОТЕКА. Житлова квартира № 62, загальною площею 77,0 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, корп. 2","Реєстрація учасників","Житлова нерухомість",м.Київ,,493831,794205.60,
"ІПОТЕКА. Земельна ділянка площею 0,12 га, кадастровий номер 3220881300:04:005:0139, що розташована за адресою: Київська область, Бориспільський район, с./рада Вишеньківська, с. Вишеньки, СТ «Либідь», ділянка №76","Реєстрація учасників","Земельні ділянки",м.Київ,,493832,134836.80,
"ІПОТЕКА. Житлова квартира № 60, загальною площею 97,1 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, корп. 2","Реєстрація учасників","Житлова нерухомість",м.Київ,,493833,983296.80,
"ІПОТЕКА. Земельна ділянка площею 0,12 га, кадастровий номер 3220881300:04:005:0194, що розташована за адресою: Київська область, Бориспільський район, с./рада Вишеньківська, с. Вишеньки, СТ «Либідь», ділянка №131","Реєстрація учасників","Земельні ділянки",м.Київ,,493834,134836.80,
"ІПОТЕКА. Житлова квартира № 217, загальною площею 82,0 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, корп. 5","Реєстрація учасників","Житлова нерухомість",м.Київ,,493835,892152.80,
"ІПОТЕКА. Земельна ділянка площею 0,12 га, кадастровий номер 3220881300:04:005:0151, що розташована за адресою: Київська область, Бориспільський район, с./рада Вишеньківська, с. Вишеньки, СТ «Либідь», ділянка №88","Реєстрація учасників","Земельні ділянки",м.Київ,,493836,134836.80,
"ІПОТЕКА. Житлова квартира № 406, загальною площею 102,4 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, корп. 9","Реєстрація учасників","Житлова нерухомість",м.Київ,,493838,1090362.40,
"ІПОТЕКА. Земельна ділянка площею 0,12 га, кадастровий номер 3220881300:04:005:0208, що розташована за адресою: Київська область, Бориспільський район, с./рада Вишеньківська, с. Вишеньки, СТ «Либідь», ділянка №145","Реєстрація учасників","Земельні ділянки",м.Київ,,493840,134836.80,
"ІПОТЕКА. Житлова квартира № 387, загальною площею 104,7 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, корп. 9","Реєстрація учасників","Житлова нерухомість",м.Київ,,493842,1112142.40,
"Легковий автомобіль DAEWOO LANOS , 2007 р.в., ДНЗ ВІ0277ВТ, зеленого кольору, № кузова SUPTF69YD7W358434","Реєстрація учасників","Легкові автомобілі","Полтавська обл.",,493847,39750.00,
"Планка оперативної пам’яті мірки SAMSUNG","Реєстрація учасників",Комплектуючі,"Кіровоградська обл.",,493844,20.00,
"Двокімнатна квартира, загальною площею 44,87 кв.м., за адресою: м. Запоріжжя, вул. Полякова, буд. 13А, кв. 28","Реєстрація учасників","Житлова нерухомість","Запорізька обл.",,493843,318422.58,
"ІПОТЕКА. Житлова квартира № 243, загальною площею 106,3 кв.м., що знаходиться за адресою: Київська область, Києво-Святошинський район, с. Чайки, вул. Коцюбинського, буд. 9, корп. 6","Реєстрація учасників","Житлова нерухомість",м.Київ,,493846,1127257.60,
